buddha : harmony: -8.399999999999999 (bu : 0.21999999999999997, d : 0.21999999999999997, dha : 0.21999999999999997)
budta : harmony: -12.800000000000002 (bu : 0.21999999999999997, d : 0.21999999999999997, ta : 0.2799999999999999)
budhdha : harmony: -11.600000000000001 (bu : 0.21999999999999997, dh : 0.4, dha : 0.21999999999999997)
budhta : harmony: -11.0 (bu : 0.21999999999999997, dh : 0.4, ta : 0.2799999999999999)
butdha : harmony: -15.2 (bu : 0.21999999999999997, t : 0.039999999999999994, dha : 0.21999999999999997)
butta : harmony: -9.600000000000001 (bu : 0.21999999999999997, t : 0.039999999999999994, ta : 0.2799999999999999)
budhidha : harmony: -19.6 (bu : 0.21999999999999997, dhi : 0.1, dha : 0.21999999999999997)
budhita : harmony: -19.000000000000004 (bu : 0.21999999999999997, dhi : 0.1, ta : 0.2799999999999999)
butidha : harmony: -19.6 (bu : 0.21999999999999997, ti : 0.1, dha : 0.21999999999999997)
butita : harmony: -14.000000000000004 (bu : 0.21999999999999997, ti : 0.1, ta : 0.2799999999999999)
budidha : harmony: -14.600000000000001 (bu : 0.21999999999999997, di : 0.1, dha : 0.21999999999999997)
budita : harmony: -19.000000000000004 (bu : 0.21999999999999997, di : 0.1, ta : 0.2799999999999999)
bhuddha : harmony: -12.800000000000002 (bhu : 0.2799999999999999, d : 0.21999999999999997, dha : 0.21999999999999997)
bhudta : harmony: -12.200000000000003 (bhu : 0.2799999999999999, d : 0.21999999999999997, ta : 0.2799999999999999)
bhudhdha : harmony: -11.0 (bhu : 0.2799999999999999, dh : 0.4, dha : 0.21999999999999997)
bhudhta : harmony: -15.4 (bhu : 0.2799999999999999, dh : 0.4, ta : 0.2799999999999999)
bhutdha : harmony: -19.6 (bhu : 0.2799999999999999, t : 0.039999999999999994, dha : 0.21999999999999997)
bhutta : harmony: -9.000000000000004 (bhu : 0.2799999999999999, t : 0.039999999999999994, ta : 0.2799999999999999)
bhudhidha : harmony: -19.000000000000004 (bhu : 0.2799999999999999, dhi : 0.1, dha : 0.21999999999999997)
bhudhita : harmony: -23.400000000000002 (bhu : 0.2799999999999999, dhi : 0.1, ta : 0.2799999999999999)
bhutidha : harmony: -24.000000000000004 (bhu : 0.2799999999999999, ti : 0.1, dha : 0.21999999999999997)
bhutita : harmony: -13.400000000000002 (bhu : 0.2799999999999999, ti : 0.1, ta : 0.2799999999999999)
bhudidha : harmony: -19.000000000000004 (bhu : 0.2799999999999999, di : 0.1, dha : 0.21999999999999997)
bhudita : harmony: -18.400000000000002 (bhu : 0.2799999999999999, di : 0.1, ta : 0.2799999999999999)
